,id,item,tipo,animal
0,1,NO me gusta imponer mi decisión sobre la de otros,2,Leon
1,2,"Cuando aplico a una posición NO me fijo en el salario, me importan más mis funciones y el resto de condiciones",2,Guepardo
2,3,Trabajo mejor cuando no tengo personas a mi alrededor,2,Leon
3,4,Prefiero trabajar en equipos grandes e interacturar con muchas personas,2,Guepardo
4,5,¿Consigues sin dificultad que cuando hablas todos te escuchen?,2,Guepardo
5,6,Cuando convocas una reunión tiendes a unir a más personas de las necesarias por si quieren aportar algún valor,2,Guepardo
6,7,"Necesito que si alguien tiene un problema, se abra y me lo cuente",2,Guepardo
7,8,Te cuesta disimular cuando alguien te cae mal,2,Delfin
8,9,Si te enfadas con alguien tardas mucho en poder cambiar de estado de animo,2,Delfin
9,10,Cuando una persona no da ordenes concretas te cuesta saber como hacer tu trabajo,2,Delfin
10,11,"Necesitas entender el contexto y el para que para hacer mejor tu trabajo, el detalle no te importa tanto",2,Leon
11,12,"Me gusta saber los objetivos de la empresa a corto, medio y largo plazo, me ayudan a organizar mis prioridades",2,Leon
12,13,"Dedico tiempo diario a organizar mi trabajo, llevo una agenda o parecido con todas las tareas que tengo que realizar",2,Leon
13,14,Tiendo a parar mi trabajo para irme a tomar un café con un compañero que necesita hablar o desahogarse,2,Leon
14,15,"Me gusta que me digan la verdad de forma directa, sin dar muchas vueltas",1,Leon
15,16,"Me gusta que en las reuniones vayan al grano, a lo importante",1,Leon
16,17,Tiendo a divagar y dar soluciones creativas,1,Panda
17,18,Me gusta contar historias y compartir experiencias,1,Delfin
18,19,Tiendo a dejar que otros solucionen los problemas,1,Panda
19,20,Evito tomar posiciones que puedan causar controversia,1,Panda
20,21,"Si hace feliz a otra persona, puedo ceder en mi posición",1,Delfin
21,22,"Trato de lograr una solución intermedia, donde todos salgamos ganando",1,Delfin
22,23,Me importa más el reconocimiento que recibo que el trabajo que hago,1,Leon
23,24,"Me importa el impacto que tiene mi trabajo sobre la sociedad, el medio ambiente y los problemas del mundo",1,Delfin
24,25,Me importa hacer algo que me satisfaga y me haga ir al trabajo bien todos los días,1,Panda
25,26,Cuando estoy rodeado de muchas personas necesito evadirme y estar solo un rato,1,Guepardo
26,27,Se me ocurren mejores ideas cuando hablo con otras personas,1,Leon
27,28,Cuando estoy en una reunión me fijo como estoy sentado,1,Leon
28,29,Cuando hablo NO soy consciente de cómo muevo las manos,1,Guepardo
29,30,"Habitualmente, ¿te das cuenta enseguida cuando alguien está fingiendo?",1,Leon
30,31,"En una conversación, ¿adivinas cuándo la otra persona quiere terminar de hablar sin necesidad de que te lo diga?",1,Leon
31,32,¿Logras que tu voz se escuche hasta en reuniones con muchas personas o en espacios muy grandes?,1,Leon
32,33,"Cuando tienes que tomar una decisión importante, NO te importa lo que piensen tus compañeros",1,Guepardo
33,34,"Si alguien no te incluye en una reunión de tu proyecto, tiendes a enfadarte",1,Leon
34,35,"Si hacen una quedada después del trabajo, te gustaría que te incluyeran en el plan",1,Leon
35,36,NO necesitas feedback constructivo positivo y que te digan que haces bien tu trabajo,1,Guepardo
36,37,"Suelo ser cercano y cariñoso con mis compañeros, me preocupa su vida y sus intereses",1,Delfin
37,38,"Si tengo un mal día, suelo comentar con mis compañeros que me ocurre y pedir consejo",1,Delfin
38,39,Me dejo llevar facilmente por la gente,1,Delfin
39,40,Dejo que los demas decidan que hacer,1,Delfin
40,41,Suelo ser proactivo y tomar las decisiones el primero,1,Leon
41,42,Si alguien piensa diferente a mi intento darle razones logicas para que cambie de opinión,1,Leon
42,43,Te preguntas como te sientes al menos una vez a la semana,1,Delfin
43,44,Cuando alguien te pregunta como estás tiendes a simplemente contestar bien,1,Leon
44,45,Al menos una vez al mes te dedicas un tiempo a observar como estás y como podrías estar mejor a nivel emocional,1,Delfin
45,46,"Te das cuenta de como te encuentras cuando tienes un problema fisico (dolor de lumbago, dolor de cabeza, barriga…)",1,Leon
46,47,Tiendes a estar de mal humor y no sabes muy bien porque,1,Leon
47,48,Tiendes a contestar de forma impulsiva y luego te arrepientes de lo que has dicho,1,Leon
48,49,Prefieres que te den instrucciones claras y con detalle para poder hacer bien tu trabajo,1,Leon
49,50,Te gusta mirar más alla y dar soluciones creativas aunque a veces eso suponga cambiar el proyecto entero,1,Delfin
50,51,No se que reuniones tengo hasta que no abro la agenda cada mañana,1,Delfin
51,52,NO me molesta que alguien me ponga una reunión a último minuto,1,Delfin
52,53,Me importa más los argumentos racionales que los emocionales,1,Leon
53,54,Cuando quiero convencer a alguien tiendo a darle razones logicas,1,Leon
54,55,Cuando quiero convencer a alguien tiendo a contarle alguna historia personal,1,Delfin
55,56,Me importa el impacto emocional que tiene sobre otros las decisiones que tomo,1,Delfin
56,57,Me doy cuenta cuando alguien está incomodo en una reunión e intento cambiar mi discurso para que se encuentre mejor,1,Delfin
57,58,NO intento usar un lenguaje inclusivo y que no ofenda a nadie de mi alrededor,1,Leon
58,59,Si entro en la oficina y veo que un compañero no se encuentra bien tiendo a darme cuenta y sentarme a hablar con el/ella,1,Delfin
